booking_id,user_id,room_id,date,start_time,end_time,duration_hours,optional_equipment,total_fee,status,deal_instance_id,created_at,checked_in_at
BD72F34B4,U001,R001,15/06/2026,10:00,11:00,1.0,,10.0,CANCELLED,,02/05/2026 00:18,
B7B56B9BB,U001,R001,09/05/2026,11:30,12:30,1.0,,10.0,CANCELLED,,09/05/2026 10:31,
BA2A14DA2,U001,R001,09/05/2026,11:30,12:30,1.0,,10.0,NO_SHOW,,09/05/2026 10:38,
BE564A934,U001,R001,09/05/2026,11:00,11:30,0.5,,5.0,CANCELLED,,09/05/2026 10:41,
BD16B7C56,U001,R006,11/05/2026,13:00,16:00,3.0,,240.0,CANCELLED,,09/05/2026 10:51,
BC4179551,U001,R001,13/05/2026,09:00,10:00,1.0,,10.0,CANCELLED,DI985D8E34,12/05/2026 23:32,
BA34DC520,U001,R001,13/05/2026,13:43,15:33,1.8333333333333333,,18.333333333333332,CANCELLED,DI985D8E34,12/05/2026 23:37,
B7C78D489,U001,R002,13/05/2026,08:00,09:00,1.0,,10.0,CANCELLED,DI985D8E34,12/05/2026 23:39,
BE9B15B3E,U001,R001,14/05/2026,09:00,09:30,0.5,,5.0,CANCELLED,DI985D8E34,12/05/2026 23:43,
B8BC87FA2,U001,R001,15/05/2026,09:00,11:00,2.0,OE005,120.0,CANCELLED,DI985D8E34,14/05/2026 20:38,
B8D48DDB4,U001,R006,25/05/2026,9:00,11:00,2.0,OE010,260.0,CANCELLED,,18/05/2026 21:13,
BFF9D87F1,U001,R001,25/05/2026,9:00,11:00,2.0,,20.0,CANCELLED,DI985D8E34,18/05/2026 21:15,
B053F0345,U001,R007,27/05/2026,9:00,11:00,2.0,,20.0,CANCELLED,DI985D8E34,18/05/2026 23:29,
BFD24B729,U001,R007,22/05/2026,14:00,16:00,2.0,,20.0,CANCELLED,DI985D8E34,21/05/2026 14:54,
BA8A389BD,U001,R004,29/05/2026,10:00,12:00,2.0,,80.0,CANCELLED,,21/05/2026 15:09,
B3C880267,U001,R004,28/05/2026,9:00,11:00,2.0,,80.0,CANCELLED,,21/05/2026 15:42,
B85C89467,U001,R001,22/05/2026,08:00,09:00,1.0,,15.0,ACTIVE,DI985D8E34,22/05/2026 00:27,
BCBA01E30,U001,R002,22/05/2026,08:00,09:00,1.0,,15.0,ACTIVE,DI985D8E34,22/05/2026 00:46,
B0F13A14C,U001,R002,22/05/2026,09:00,10:00,1.0,,15.0,ACTIVE,DI985D8E34,22/05/2026 01:13,
