equipment_id,name,description
OE001,Laptop,Dell XPS 15 with charger
OE002,Dell XPS 16 with charger,Dell XPS 15 with charger
OE003,Laptop,MacBook Air M2 with charger
OE004,HDMI Cable,2m HDMI cable for projector connection
OE005,HDMI Cable,2m HDMI cable for projector connection
OE007,Webcam,Logitech C920 HD USB webcam
OE008,Whiteboard Markers,Set of 4 coloured whiteboard markers
OE009,Whiteboard Markers,Set of 4 coloured whiteboard markers
OE010,Extension Cord,4-outlet power extension cord
OE011,Quantum computer,Fictional quantum computer that can host GAI
