equipment_id,room_id,name,status
SE001,R001,Table,available
SE002,R001,Chair,available
SE003,R001,Chair,available
SE004,R002,Table,available
SE005,R002,Chair,available
SE006,R002,Chair,available
SE007,R003,Big Table,available
SE008,R003,Chair,available
SE009,R003,Chair,available
SE010,R003,Chair,available
SE011,R003,Chair,available
SE012,R003,Chair,available
SE013,R003,Chair,available
SE014,R003,Whiteboard,available
SE015,R004,Big Table,available
SE016,R004,Chair,available
SE017,R004,Chair,available
SE018,R004,Chair,available
SE019,R004,Chair,available
SE020,R004,Chair,available
SE021,R004,Chair,available
SE022,R004,Whiteboard,available
SE023,R005,Meeting Table,available
SE024,R005,Chair,available
SE025,R005,Chair,available
SE026,R005,Chair,available
SE027,R005,Chair,available
SE028,R005,Chair,available
SE029,R005,Chair,available
SE030,R005,Chair,available
SE031,R005,Chair,available
SE032,R005,Chair,available
SE033,R005,Chair,available
SE034,R005,Projector,available
SE035,R006,Meeting Table,available
SE036,R006,Chair,available
SE037,R006,Chair,available
SE038,R006,Chair,available
SE039,R006,Chair,available
SE040,R006,Chair,available
SE041,R006,Chair,available
SE042,R006,Chair,available
SE043,R006,Chair,available
SE044,R006,Chair,available
SE045,R006,Chair,available
SE046,R006,Projector,available
SE047,,chair,available
SE048,,chair,available
SE049,,chair,available
SE050,,chair,available
SE051,,chair,available
SE052,,table,available
SE053,,table,available
SE054,,table,available
SE055,,table,available
SE056,,table,available
SE057,,table,available
SE058,,table,available
SE059,,table,available
SE060,R007,Table,available
SE061,R007,Chair,available
SE062,R007,Chair,available
SE063,R008,Meeting Table,available
SE064,R008,Chair,available
SE065,R008,Chair,available
SE066,R008,Chair,available
SE067,R008,Chair,available
SE068,R008,Chair,available
SE069,R008,Chair,available
SE070,R008,Chair,available
SE071,R008,Chair,available
SE072,R008,Chair,available
SE073,R008,Chair,available
SE074,R008,Projector,available
SE075,,Cahir,available
SE076,,Chair,available
