transaction_id,user_id,transaction_type,amount,description,timestamp
TE6E8AA91,U001,CREDIT,50,Fund top-up of $50.00,02/05/2026 00:18
TDD8201D9,U001,DEBIT,10.0,Payment for booking BD72F34B4,02/05/2026 00:18
TD94B3D08,U001,DEBIT,10.0,Payment for booking B7B56B9BB,09/05/2026 10:31
T21A278B1,U001,REFUND,10.0,Refund for cancelled booking BD72F34B4,09/05/2026 10:32
TFBA02D67,U001,REFUND,10.0,Refund for cancelled booking B7B56B9BB,09/05/2026 10:37
TB75D1EC5,U001,DEBIT,10.0,Payment for booking BA2A14DA2,09/05/2026 10:38
T3D10A3CE,U001,DEBIT,5.0,Payment for booking BE564A934,09/05/2026 10:41
TD5D28CE1,U001,REFUND,2.5,Refund for cancelled booking BE564A934,09/05/2026 10:42
T255F54BC,U001,DEBIT,240.0,Payment for booking BD16B7C56,09/05/2026 10:51
T0BD3E070,U001,CREDIT,10.0,Fund top-up of $10.00,09/05/2026 11:09
T7A9BC2F2,U001,CREDIT,10.0,Fund top-up of $10.00,09/05/2026 11:13
TEED5AD01,U001,CREDIT,10.0,Fund top-up of $10.00,09/05/2026 11:29
T717B040D,U001,DEBIT,100.0,Purchase of deal package: 12-Hour Small Room Bundle,12/05/2026 01:25
TD0590051,U001,DEBIT,0.0,Booking BC4179551 paid via deal DI985D8E34,12/05/2026 23:32
TB095CBF4,U001,DEBIT,0.0,Booking BA34DC520 paid via deal DI985D8E34,12/05/2026 23:37
T0B6E16CD,U001,DEBIT,0.0,Booking B7C78D489 paid via deal DI985D8E34,12/05/2026 23:39
T850ED266,U001,DEBIT,0.0,Booking BE9B15B3E paid via deal DI985D8E34,12/05/2026 23:43
TEE41876E,U001,DEBIT,0.0,Booking B8BC87FA2 paid via deal DI985D8E34,14/05/2026 20:38
TBE90D2A5,U001,REFUND,100.0,Equipment deposit refund for booking B8BC87FA2,14/05/2026 20:39
T0E011729,U001,CREDIT,100.0,Fund top-up of $100.00,18/05/2026 21:14
T6CE09B8C,U001,DEBIT,0.0,Booking BFF9D87F1 paid via deal DI985D8E34,18/05/2026 21:15
TB539E8DC,U001,DEBIT,0.0,Booking B053F0345 paid via deal DI985D8E34,18/05/2026 23:29
TCAFF7E45,U001,DEBIT,0.0,Booking BFD24B729 paid via deal DI985D8E34,21/05/2026 14:54
TEA7BDD4C,U001,DEBIT,80.0,Payment for booking BA8A389BD,21/05/2026 15:09
T03C548B7,U001,REFUND,-20.0,Refund for cancelled booking BA8A389BD,21/05/2026 15:12
T816CCEC6,U001,DEBIT,80.0,Payment for booking B3C880267,21/05/2026 15:42
T268EA3FB,U001,REFUND,80.0,Refund for cancelled booking B3C880267,21/05/2026 15:44
TA0056784,U001,CREDIT,50.0,Fund top-up of $50.00,22/05/2026 00:04
TBD127958,U001,DEBIT,0.0,Booking B85C89467 paid via deal DI985D8E34,22/05/2026 00:27
T1498FCF0,U001,DEBIT,0.0,Booking BCBA01E30 paid via deal DI985D8E34,22/05/2026 00:46
T5E357CB8,U001,DEBIT,0.0,Booking B0F13A14C paid via deal DI985D8E34,22/05/2026 01:13
